Furnishing,facing,Bathroom,Balcony,Amount_numeric,BHK,Carpet_Area_sqft,Current_Floor,Total_Floors
Semi-Furnished,East,2.0,2.0,6500000.0,2.0,,1.0,4.0
Unfurnished,East,2.0,1.0,8300000.0,2.0,600.0,12.0,21.0
Unfurnished,East,2.0,2.0,,2.0,758.0,1.0,29.0
Unfurnished,East,2.0,2.0,7200000.0,3.0,,14.0,22.0
Semi-Furnished,East,2.0,1.0,14700000.0,2.0,848.0,30.0,36.0
Semi-Furnished,East,1.0,1.0,4000000.0,1.0,,4.0,4.0
Unfurnished,East,2.0,1.0,11299999.999999998,2.0,650.0,23.0,32.0
Unfurnished,East,6.0,2.0,18500000.0,6.0,913.0,7.0,15.0
Unfurnished,West,1.0,2.0,6300000.0,1.0,366.0,25.0,30.0
Semi-Furnished,North - East,2.0,2.0,14500000.0,2.0,750.0,12.0,22.0
Unfurnished,East,2.0,2.0,15000000.0,2.0,706.0,26.0,27.0
Unfurnished,East,2.0,1.0,6490000.000000001,2.0,612.0,3.0,23.0
Semi-Furnished,West,2.0,1.0,11000000.0,2.0,730.0,9.0,19.0
Unfurnished,East,1.0,1.0,3400000.0,1.0,510.0,6.0,18.0
Unfurnished,South,2.0,1.0,7250000.0,3.0,961.0,4.0,24.0
Semi-Furnished,South -West,3.0,1.0,36600000.0,3.0,1228.0,21.0,26.0
Unfurnished,East,2.0,1.0,3500000.0,1.0,480.0,7.0,8.0
Unfurnished,East,1.0,2.0,4000000.0,1.0,,4.0,8.0
Unfurnished,East,1.0,2.0,3500000.0,1.0,,2.0,5.0
Unfurnished,West,2.0,2.0,8600000.0,2.0,551.0,19.0,30.0
Unfurnished,East,1.0,3.0,7500000.0,1.0,435.0,10.0,30.0
Semi-Furnished,East,2.0,2.0,5500000.0,1.0,430.0,3.0,7.0
Unfurnished,East,3.0,1.0,33000000.0,4.0,1359.0,12.0,19.0
Unfurnished,East,2.0,3.0,13000000.0,2.0,640.0,15.0,30.0
Semi-Furnished,East,4.0,2.0,4400000.0,2.0,,3.0,4.0
Unfurnished,East,2.0,1.0,5800000.0,1.0,495.0,10.0,31.0
Semi-Furnished,East,1.0,1.0,3600000.0,1.0,510.0,11.0,18.0
Furnished,East,4.0,1.0,29500000.0,4.0,1650.0,1.0,29.0
Semi-Furnished,East,1.0,2.0,3000000.0,1.0,,4.0,7.0
Unfurnished,East,1.0,2.0,5600000.0,1.0,540.0,3.0,6.0
Unfurnished,East,2.0,1.0,11500000.0,2.0,650.0,24.0,32.0
Semi-Furnished,East,2.0,2.0,29900000.000000004,3.0,1300.0,21.0,28.0
Furnished,North,2.0,1.0,13000000.0,3.0,870.0,4.0,7.0
Semi-Furnished,East,2.0,2.0,19000000.0,2.0,830.0,16.0,22.0
Unfurnished,South -West,2.0,1.0,6100000.0,2.0,763.0,19.0,24.0
Unfurnished,East,2.0,3.0,5800000.0,1.0,480.0,7.0,19.0
Semi-Furnished,North,1.0,2.0,4800000.0,1.0,370.0,0.0,5.0
Semi-Furnished,East,1.0,1.0,4300000.0,1.0,454.0,14.0,23.0
Semi-Furnished,North - East,2.0,2.0,16500000.0,2.0,750.0,5.0,14.0
Unfurnished,North - East,2.0,1.0,15900000.0,2.0,721.0,2.0,29.0
Semi-Furnished,East,2.0,3.0,6300000.0,2.0,575.0,7.0,19.0
Unfurnished,East,2.0,2.0,19300000.0,2.0,790.0,4.0,30.0
Semi-Furnished,West,3.0,2.0,29900000.000000004,3.0,1100.0,12.0,27.0
Furnished,East,3.0,2.0,25000000.0,5.0,,6.0,18.0
Unfurnished,East,2.0,2.0,7000000.0,2.0,700.0,1.0,14.0
Unfurnished,East,1.0,2.0,1700000.0,1.0,,1.0,4.0
Unfurnished,East,2.0,2.0,19900000.0,2.0,790.0,19.0,30.0
Unfurnished,East,1.0,2.0,3600000.0,1.0,,2.0,7.0
Furnished,East,2.0,2.0,9800000.0,1.0,500.0,7.0,13.0
Semi-Furnished,North,2.0,2.0,7200000.0,2.0,850.0,3.0,7.0
Semi-Furnished,South -West,3.0,1.0,35900000.0,3.0,1203.0,23.0,35.0
Furnished,East,1.0,2.0,3250000.0,1.0,438.0,6.0,7.0
Unfurnished,East,2.0,1.0,3700000.0,1.0,510.0,17.0,18.0
Unfurnished,East,3.0,1.0,32000000.0,4.0,1350.0,16.0,27.0
Unfurnished,North,1.0,2.0,4000000.0,2.0,546.0,2.0,4.0
Semi-Furnished,East,2.0,3.0,6000000.0,1.0,379.0,2.0,21.0
Unfurnished,East,1.0,1.0,4500000.0,1.0,500.0,2.0,2.0
Unfurnished,East,1.0,1.0,5500000.0,1.0,495.0,7.0,31.0
Semi-Furnished,East,3.0,1.0,26000000.0,3.0,1012.0,10.0,18.0
Unfurnished,North - West,2.0,1.0,4900000.0,2.0,526.0,20.0,26.0
Unfurnished,East,1.0,3.0,,1.0,,2.0,3.0
Unfurnished,South - East,2.0,2.0,3100000.0,2.0,692.0,2.0,7.0
Unfurnished,East,2.0,1.0,15600000.0,3.0,879.0,14.0,19.0
Unfurnished,North,1.0,2.0,4850000.0,1.0,410.0,3.0,7.0
Unfurnished,North,1.0,1.0,4700000.0,1.0,400.0,7.0,12.0
Unfurnished,North,2.0,4.0,8500000.0,2.0,640.0,9.0,16.0
Semi-Furnished,East,6.0,2.0,52000000.0,6.0,2024.0,8.0,18.0
Semi-Furnished,North - East,2.0,3.0,18000000.0,2.0,630.0,12.0,18.0
Semi-Furnished,East,2.0,1.0,12500000.0,2.0,,6.0,21.0
Unfurnished,East,2.0,2.0,3000000.0,2.0,,0.0,4.0
Unfurnished,East,1.0,1.0,2700000.0,1.0,375.0,3.0,3.0
Unfurnished,North,2.0,3.0,6300000.0,1.0,435.0,8.0,16.0
Semi-Furnished,East,2.0,2.0,8400000.0,2.0,650.0,7.0,7.0
Furnished,East,1.0,1.0,7500000.0,1.0,450.0,1.0,7.0
Unfurnished,North - East,1.0,1.0,3900000.0,2.0,511.0,5.0,7.0
Unfurnished,East,2.0,2.0,,2.0,585.0,18.0,30.0
Semi-Furnished,North - East,1.0,2.0,1700000.0,1.0,,0.0,3.0
Unfurnished,East,2.0,2.0,3990000.0,1.0,,4.0,7.0
Unfurnished,North - East,2.0,1.0,15400000.0,2.0,702.0,2.0,29.0
Semi-Furnished,East,1.0,3.0,4500000.0,1.0,440.0,5.0,14.0
Unfurnished,East,2.0,1.0,9500000.0,2.0,663.0,18.0,20.0
Unfurnished,East,2.0,2.0,8200000.0,1.0,453.0,6.0,40.0
Semi-Furnished,East,1.0,1.0,1500000.0,1.0,,1.0,4.0
Furnished,East,1.0,2.0,3000000.0,1.0,475.0,2.0,4.0
Unfurnished,East,1.0,2.0,2500000.0,1.0,,7.0,7.0
Semi-Furnished,East,1.0,2.0,4700000.0,1.0,330.0,9.0,16.0
Semi-Furnished,East,2.0,2.0,8500000.0,2.0,650.0,5.0,11.0
Unfurnished,East,2.0,2.0,10500000.0,3.0,,12.0,24.0
Semi-Furnished,North - East,3.0,2.0,19000000.0,3.0,1011.0,6.0,16.0
Unfurnished,East,2.0,2.0,4500000.0,2.0,,2.0,4.0
Semi-Furnished,East,2.0,4.0,,2.0,700.0,7.0,7.0
Semi-Furnished,East,2.0,2.0,7000000.0,1.0,,1.0,19.0
Semi-Furnished,East,1.0,3.0,3250000.0,1.0,500.0,8.0,12.0
Unfurnished,East,2.0,1.0,11000000.0,2.0,650.0,20.0,32.0
Semi-Furnished,East,1.0,2.0,4200000.0,1.0,,2.0,5.0
Semi-Furnished,East,2.0,2.0,7000000.0,1.0,,2.0,19.0
